lat;lon;frp
-9677190;-53638230;51.8
-9675690;-53626830;5.2
-9675100;-53545630;25.6
-9673600;-53534330;24.2
-9663680;-53535720;9.9
-9595510;-54584030;10.7
-9484820;-54603970;7.5
-9483180;-54591000;8.2
-9479100;-54597800;14.8
-9398530;-54763540;13.1
-10615950;-54602080;23.7
-10614200;-54588320;65.4
-10374370;-54952580;11.2
-11210910;-54876820;13.4
-11199710;-54878210;14.8
-11197880;-54863520;27.3
-10920880;-54118610;11.7
-10919240;-54105780;11.7
-10911990;-54132940;32.9
-10910360;-54120010;72.9
-13232440;-54400510;16.2
-13230650;-54385800;10.9
-13228880;-54371170;12.4
-13227100;-54356520;16.4
-13187950;-54323650;7.5
-13164050;-54312220;7.7
-10737340;-56318940;13.8
-9403150;-57014770;33.0
-9941860;-57918730;28.0
-9702810;-57447250;43.4
-12082580;-57268500;20.6
-12076010;-57274440;25.5
-9703400;-58451920;42.6
-9701820;-58457290;55.8
-12247790;-60553340;31.7
-12247890;-60548390;35.9
-9688850;-58453730;85.7
-9687280;-58459170;79.5
-5110090;-48319910;48.9
-4257220;-48070000;9.3
-4255390;-48076670;12.0
-4518120;-47843520;9.6
-4373970;-49031900;8.3
-4356770;-48771200;5.6
-4301870;-48106960;7.1
-4300110;-48094920;84.1
-4265720;-48075380;8.1
-4258940;-48082130;12.2
-5108460;-48308520;133.5
-6092590;-48255190;7.1
-5472950;-48833660;7.5
-7997330;-49653920;56.2
-7998670;-49663230;7.4
-7989610;-49664550;4.6
-7988260;-49655250;18.5
-5956150;-50253720;5.8
-4669620;-50989650;13.7
-6403210;-52730010;4.9
-6049550;-52229440;7.3
-7101510;-52923540;6.6
-6985460;-52816740;9.5
-6850880;-52169760;4.7
-6582310;-53022590;6.2
-6575760;-53113410;8.2
-6574420;-53103600;6.8
-6573000;-53023880;19.3
-6566430;-53114810;5.2
-6557090;-53116110;9.5
-6537080;-53108830;15.7
-6442820;-53275670;4.7
-6441430;-53265660;7.2
-6138720;-53563240;5.4
-6127800;-53518330;6.9
-6064520;-53694990;13.1
-6059840;-53691380;9.9
-5806440;-53468470;5.6
-5805070;-53458480;22.0
-5803690;-53448470;14.2
-5798360;-53479620;17.4
-5797010;-53469790;20.3
-5795640;-53459760;27.5
-6625180;-53010710;6.9
-6623860;-53000930;8.8
-6622480;-53107040;5.1
-6619880;-52971570;12.9
-6618520;-53031590;8.2
-6617200;-53021800;15.4
-6611570;-53028490;13.2
-6610210;-53018690;15.1
-6602270;-53029800;5.5
-8515070;-54815550;19.7
-8513400;-54802510;9.3
-8511160;-54821780;15.5
-8509400;-54808700;23.3
-8504400;-54817050;46.4
-8293870;-54730700;11.7
-6444950;-55147090;14.7
-6440510;-55154510;17.8
-6438830;-55141630;7.3
-6271600;-55221970;14.4
-6269810;-55209040;7.2
-6265240;-55216410;9.6
-6228300;-55638370;21.2
-7944470;-55278780;17.1
-7909290;-55006410;14.4
-7775490;-54968980;12.5
-7773750;-54955970;35.7
-7763090;-54957450;19.9
-7403990;-55096710;15.0
-8506090;-54830290;42.2
-8502260;-54836500;24.9
-8500500;-54823320;54.7
-8491560;-54837840;11.6
-8125680;-54844650;45.0
-8123930;-54831580;14.9
-8122180;-54818530;9.0
-8120440;-54805490;17.5
-8116060;-55103430;13.1
-8109830;-54806860;8.9
